"onset"	"duration"	"event"	"trial_type"	"response_time"	"response_key"	"stim_file_left"	"stim_file_right"
2.00737160001881	2	"View"	"Trustworthy"	1.71697449998464	2	"images/silhouette.jpg"	"images/B4f08.jpg"
4.00737160001881	4	"Decision"	"Trustworthy"	1.71697449998464	2	"images/silhouette.jpg"	"images/B4f08.jpg"
12.0262866999255	2	"View"	"Trustworthy"	0.866854800027795	1	"images/B7f03.jpg"	"images/silhouette.jpg"
14.0262866999255	4	"Decision"	"Trustworthy"	0.866854800027795	1	"images/B7f03.jpg"	"images/silhouette.jpg"
22.0418465000112	2	"View"	"Neutral"	1.36723919992801	2	"images/silhouette.jpg"	"images/C8f03.jpg"
24.0418465000112	4	"Decision"	"Neutral"	1.36723919992801	2	"images/silhouette.jpg"	"images/C8f03.jpg"
32.0571465999819	2	"View"	"Trustworthy"	1.05045169999357	2	"images/silhouette.jpg"	"images/B3f03.jpg"
34.0571465999819	4	"Decision"	"Trustworthy"	1.05045169999357	2	"images/silhouette.jpg"	"images/B3f03.jpg"
52.0773703999585	2	"View"	"Neutral"	0.816958999959752	1	"images/C6f08.jpg"	"images/silhouette.jpg"
54.0773703999585	4	"Decision"	"Neutral"	0.816958999959752	1	"images/C6f08.jpg"	"images/silhouette.jpg"
64.0920723999152	2	"View"	"Neutral"	1.11726730002556	1	"images/C1f04.jpg"	"images/silhouette.jpg"
66.0920723999152	4	"Decision"	"Neutral"	1.11726730002556	1	"images/C1f04.jpg"	"images/silhouette.jpg"
78.1088157999329	2	"View"	"Untrustworthy"	0.833741399925202	1	"images/A5f08.jpg"	"images/silhouette.jpg"
80.1088157999329	4	"Decision"	"Untrustworthy"	0.833741399925202	1	"images/A5f08.jpg"	"images/silhouette.jpg"
88.125289699994	2	"View"	"Neutral"	0.717308500083163	1	"images/C6f03.jpg"	"images/silhouette.jpg"
90.125289699994	4	"Decision"	"Neutral"	0.717308500083163	1	"images/C6f03.jpg"	"images/silhouette.jpg"
100.144996999996	2	"View"	"Untrustworthy"	0.867069800035097	2	"images/silhouette.jpg"	"images/A8f07.jpg"
102.144996999996	4	"Decision"	"Untrustworthy"	0.867069800035097	2	"images/silhouette.jpg"	"images/A8f07.jpg"
110.159914099961	2	"View"	"Trustworthy"	0.683423500042409	1	"images/B9f07.jpg"	"images/silhouette.jpg"
112.159914099961	4	"Decision"	"Trustworthy"	0.683423500042409	1	"images/B9f07.jpg"	"images/silhouette.jpg"
120.176113999914	2	"View"	"Trustworthy"	0.550507999956608	1	"images/B2f08.jpg"	"images/silhouette.jpg"
122.176113999914	4	"Decision"	"Trustworthy"	0.550507999956608	1	"images/B2f08.jpg"	"images/silhouette.jpg"
132.196240799967	2	"View"	"Trustworthy"	0.75027640000917	2	"images/silhouette.jpg"	"images/B6f03.jpg"
134.196240799967	4	"Decision"	"Trustworthy"	0.75027640000917	2	"images/silhouette.jpg"	"images/B6f03.jpg"
144.210684799938	2	"View"	"Untrustworthy"	0.733756100060418	2	"images/silhouette.jpg"	"images/A9f07.jpg"
146.210684799938	4	"Decision"	"Untrustworthy"	0.733756100060418	2	"images/silhouette.jpg"	"images/A9f07.jpg"
154.22766059998	2	"View"	"Neutral"	0.700403399998322	2	"images/silhouette.jpg"	"images/C2f08.jpg"
156.22766059998	4	"Decision"	"Neutral"	0.700403399998322	2	"images/silhouette.jpg"	"images/C2f08.jpg"
166.246668700012	2	"View"	"Untrustworthy"	0.717061999952421	1	"images/A5f04.jpg"	"images/silhouette.jpg"
168.246668700012	4	"Decision"	"Untrustworthy"	0.717061999952421	1	"images/A5f04.jpg"	"images/silhouette.jpg"
180.261886199936	2	"View"	"Neutral"	0.550362500012852	1	"images/C3f03.jpg"	"images/silhouette.jpg"
182.261886199936	4	"Decision"	"Neutral"	0.550362500012852	1	"images/C3f03.jpg"	"images/silhouette.jpg"
190.281030999962	2	"View"	"Neutral"	0.550468300003558	2	"images/silhouette.jpg"	"images/C3f03.jpg"
192.281030999962	4	"Decision"	"Neutral"	0.550468300003558	2	"images/silhouette.jpg"	"images/C3f03.jpg"
202.295719899936	2	"View"	"Untrustworthy"	0.533873699954711	2	"images/silhouette.jpg"	"images/A1f04.jpg"
204.295719899936	4	"Decision"	"Untrustworthy"	0.533873699954711	2	"images/silhouette.jpg"	"images/A1f04.jpg"
212.314553899923	2	"View"	"Untrustworthy"	0.550608100020327	1	"images/A5f08.jpg"	"images/silhouette.jpg"
214.314553899923	4	"Decision"	"Untrustworthy"	0.550608100020327	1	"images/A5f08.jpg"	"images/silhouette.jpg"
228.331637099967	2	"View"	"Untrustworthy"	0.600469900062308	2	"images/silhouette.jpg"	"images/A2f08.jpg"
230.331637099967	4	"Decision"	"Untrustworthy"	0.600469900062308	2	"images/silhouette.jpg"	"images/A2f08.jpg"
238.346942899982	2	"View"	"Untrustworthy"	0.700472200056538	1	"images/A8f03.jpg"	"images/silhouette.jpg"
240.346942899982	4	"Decision"	"Untrustworthy"	0.700472200056538	1	"images/A8f03.jpg"	"images/silhouette.jpg"
248.362629999989	2	"View"	"Untrustworthy"	0.667285999981686	1	"images/A6f08.jpg"	"images/silhouette.jpg"
250.362629999989	4	"Decision"	"Untrustworthy"	0.667285999981686	1	"images/A6f08.jpg"	"images/silhouette.jpg"
260.380264999927	2	"View"	"Neutral"	0.683639899943955	1	"images/C8f07.jpg"	"images/silhouette.jpg"
262.380264999927	4	"Decision"	"Neutral"	0.683639899943955	1	"images/C8f07.jpg"	"images/silhouette.jpg"
278.397354500019	2	"View"	"Neutral"	0.517004799912684	1	"images/C2f08.jpg"	"images/silhouette.jpg"
280.397354500019	4	"Decision"	"Neutral"	0.517004799912684	1	"images/C2f08.jpg"	"images/silhouette.jpg"
288.41330070002	2	"View"	"Trustworthy"	0.633654600009322	1	"images/B9f03.jpg"	"images/silhouette.jpg"
290.41330070002	4	"Decision"	"Trustworthy"	0.633654600009322	1	"images/B9f03.jpg"	"images/silhouette.jpg"
298.431043399964	2	"View"	"Neutral"	0.566764499992132	1	"images/C7f07.jpg"	"images/silhouette.jpg"
300.431043399964	4	"Decision"	"Neutral"	0.566764499992132	1	"images/C7f07.jpg"	"images/silhouette.jpg"
308.44737910002	2	"View"	"Untrustworthy"	0.683924800017849	1	"images/A2f03.jpg"	"images/silhouette.jpg"
310.44737910002	4	"Decision"	"Untrustworthy"	0.683924800017849	1	"images/A2f03.jpg"	"images/silhouette.jpg"
326.465020300006	2	"View"	"Untrustworthy"	0.683836700045504	1	"images/A1f08.jpg"	"images/silhouette.jpg"
328.465020300006	4	"Decision"	"Untrustworthy"	0.683836700045504	1	"images/A1f08.jpg"	"images/silhouette.jpg"
