"id","agegrp","llh_double","llh_single","llh_baseline","llh_decay","llh_prior","n","AIC_double","AIC_single","AIC_baseline","AIC_decay","AIC_prior","BIC_double","BIC_single","BIC_baseline","BIC_decay","BIC_prior","AIC_win","BIC_win","conflict"
"sub-1004","Younger",42.3921242461408,42.4078372476123,62.383246250395,42.1644427837539,44.6322023306181,45,91.3696143459401,89.1013887809389,126.859515756604,93.3288855675078,103.474930977026,96.2042359615926,92.4289994747652,128.57315499056,99.5555355265891,112.104379599858,"single","single",0
"sub-1005","Younger",40.1475109217658,46.5517729285662,62.383246250395,40.1475109217657,41.6044241822139,45,86.8803876971901,97.3892601428467,126.859515756604,89.2950218435315,97.4193746802173,91.7150093128426,100.716870836673,128.57315499056,95.5216718026127,106.04882330305,"double","double",0
"sub-1006","Younger",52.2927387258674,55.7093056718446,59.6106575281552,52.2627992118301,54.3514675942401,43,111.170843305393,115.704325629403,121.314338312124,113.52559842366,122.91346150427,115.869077798815,118.941011575076,122.982515172004,119.570398886435,131.270135882641,"double","double",0
"sub-1007","Younger",36.2639594602261,39.1608388995476,62.383246250395,35.8824473048577,38.8269750421965,45,79.1132847741107,82.6073920848095,126.859515756604,80.7648946097154,91.8644764001825,83.9479063897631,85.9350027786358,128.57315499056,86.9915445687967,100.493925023015,"double","double",0
"sub-1008","Younger",41.5931154700273,57.031764728261,60.9969518892751,41.5931154700273,38.2893932905578,44,89.7715967937131,118.349243742236,124.086927034364,92.1862309400546,90.7893128969052,94.5387998418094,121.631908724359,125.778093412468,98.3229894757276,99.2839243846252,"double","double",0
"sub-1009","Younger",57.0404499247261,57.0899275191056,60.9969518892751,57.0404499246539,57.3159632570168,44,120.666265703111,118.465569323925,124.086927034364,123.080899849308,128.842452829823,125.433468751207,121.748234306048,125.778093412468,129.217658384981,137.337064317543,"single","single",0
"sub-1010","Younger",45.405044096998,46.650227370303,62.383246250395,44.1832013171929,46.8798866705349,45,97.3954540476545,97.5861690263203,126.859515756604,97.3664026343858,107.970299656859,102.230075663307,100.913779720147,128.57315499056,103.593052593467,116.599748279692,"decay","single",1
"sub-1012","Younger",32.9045534026631,33.4583371936239,60.9969518892751,32.8669514287299,39.5905747755116,44,72.3944726589847,71.2023886729621,124.086927034364,74.7339028574599,93.3916758668126,77.161675707081,74.4850536550843,125.778093412468,80.8706613931329,101.886287354533,"single","single",0
"sub-1013","Younger",46.438867974559,47.8364297614555,62.383246250395,43.6014800043304,44.7826339147375,45,99.4631018027765,99.9585738086253,126.859515756604,96.2029600086607,103.775794145265,104.297723418429,103.286184502452,128.57315499056,102.429609967742,112.405242768097,"decay","decay",0
"sub-1014","Younger",55.6456837442961,57.7039802189992,62.383246250395,55.645683706321,52.1135982715443,45,117.876733342251,119.693674723713,126.859515756604,120.291367412642,118.437722858878,122.711354957903,123.021285417539,128.57315499056,126.518017371723,127.06717148171,"double","double",0
"sub-1015","Younger",33.4932140479959,33.4934323957204,59.6106575281552,31.1363982235456,36.5551619445279,43,73.5717939496503,71.2725790771551,121.314338312124,71.2727964470911,87.3208502048452,78.2700284430725,74.5092650228279,122.982515172004,77.3175969098654,95.6775245832171,"single","single",0
"sub-1016","Younger",46.5829513613251,62.383246250395,62.383246250395,44.5250719200246,31.2581172792738,45,99.7512685763087,129.052206786504,126.859515756604,98.0501438400493,76.7267608743372,104.585890191961,132.379817480331,128.57315499056,104.276793799131,85.3562094971696,"prior","prior",0
"sub-1017","Younger",27.1314194290752,38.533725711929,59.6106575281552,27.1314194290751,30.5351187023157,43,60.8482047118089,81.3531657095723,121.314338312124,63.2628388581502,75.2807637204209,65.5464392052311,84.5898516552451,122.982515172004,69.3076393209244,83.6374380987928,"double","double",0
"sub-1018","Younger",54.1835448346053,54.585524132372,62.383246250395,54.1835448345994,55.9755900540978,45,114.952455522869,113.456762550458,126.859515756604,117.367089669199,126.161706423985,119.787077138522,116.784373244285,128.57315499056,123.59373962828,134.791155046818,"single","single",0
"sub-1019","Younger",27.9603091806371,37.2632391183346,62.383246250395,27.711633502277,34.5955601771425,45,62.5059842149327,78.8121925223835,126.859515756604,64.423267004554,83.4016466700744,67.3406058305852,82.1398032162098,128.57315499056,70.6499169636352,92.0310952929068,"double","double",0
"sub-1020","Younger",30.7024810252015,36.3276980244782,62.383246250395,29.8206922752483,34.9260141803623,45,67.9903279040615,76.9411103346707,126.859515756604,68.6413845504966,84.062554676514,72.824949519714,80.268721028497,128.57315499056,74.8680345095779,92.6920032993464,"double","double",0
"sub-1021","Younger",31.6811395656533,36.1295388141888,62.383246250395,30.4567620590232,37.2466812670905,45,69.9476449849651,76.5447919140919,126.859515756604,69.9135241180464,88.7038888499704,74.7822666006176,79.8724026079182,128.57315499056,76.1401740771276,97.3333374728029,"decay","double",1
"sub-1022","Younger",50.170409895805,56.3897567603905,62.383246250395,49.6493569943255,52.9766160384565,45,106.926185645269,117.065227806495,126.859515756604,108.298713988651,120.163758392702,111.760807260921,120.392838500322,128.57315499056,114.525363947732,128.793207015535,"double","double",0
"sub-1023","Younger",44.3839638633545,47.7617013325746,62.383246250395,44.3539690068885,42.5333390853534,45,95.3532935803675,99.8091169508635,126.859515756604,97.7079380137769,99.2772044864962,100.18791519602,103.13672764469,128.57315499056,103.934587972858,107.906653109329,"double","double",0
"sub-1024","Younger",7.63482691141445,10.3002038057713,60.9969518892751,7.63482691141444,21.2455194888613,44,21.8550196764874,24.8861218972569,124.086927034364,24.2696538228289,56.7015652935121,26.6222227245837,28.1687868793791,125.778093412468,30.4064123585019,65.1961767812322,"double","double",0
"sub-1025","Younger",56.886720477702,60.9969518892751,60.9969518892751,56.886720477702,55.7057528842187,44,120.358806809063,126.279618064264,124.086927034364,122.773440955404,125.622032084227,125.126009857159,129.562283046387,125.778093412468,128.910199491077,134.116643571947,"double","double",0
"sub-1026","Younger",59.0595958025346,59.9148609272467,60.9969518892751,59.0595958025324,59.6437378354622,44,124.704557458728,124.115436140208,124.086927034364,127.119191605065,133.498001986714,129.471760506824,127.39810112233,125.778093412468,133.255950140738,141.992613474434,"baseline","baseline",0
"sub-1028","Younger",41.2323859962689,43.7458949725498,62.383246250395,41.2323859962689,47.8128006809919,45,89.0501378461963,91.7775042308139,126.859515756604,91.4647719925377,109.836127677773,93.8847594618488,95.1051149246402,128.57315499056,97.691421951619,118.465576300606,"double","double",0
"sub-1029","Younger",37.2422471602568,38.1222200289781,59.6106575281552,37.2422471602568,37.1148766457083,43,81.0698601741721,80.5301543436705,121.314338312124,83.4844943205136,88.4402796072062,85.7680946675943,83.7668402893433,122.982515172004,89.5292947832879,96.796953985578,"single","single",0
"sub-1030","Younger",31.0152661185471,36.4691135808296,60.9969518892751,27.8782652574333,37.670641741278,44,68.6158980907527,77.2239414473735,124.086927034364,64.7565305148665,89.5518097983454,73.383101138849,80.5066064294957,125.778093412468,70.8932890505396,98.0464212860655,"decay","decay",0
"sub-1032","Younger",47.3524769971499,57.8462657243762,60.9969518892751,47.3524769971495,44.5470920111664,44,101.290319847958,119.978245734467,124.086927034364,103.704953994299,103.304710338122,106.057522896055,123.260910716589,125.778093412468,109.841712529972,111.799321825842,"double","double",0
"sub-1033","Younger",41.8655181208928,48.2428068075023,60.9969518892751,41.8655181208923,43.2819030120555,44,90.3164020954441,100.771327900719,124.086927034364,92.7310362417847,100.7743323399,95.0836051435404,104.053992882841,125.778093412468,98.8677947774577,109.268943827621,"double","double",0
"sub-1034","Younger",36.5408981835093,37.7013351645772,62.383246250395,35.4884603196871,40.7999790445201,45,79.6671622206771,79.6883846148687,126.859515756604,79.9769206393741,95.8104844048296,84.5017838363296,83.015995308695,128.57315499056,86.2035705984554,104.439933027662,"double","single",1
"sub-1035","Younger",41.9142848752245,42.4058192268453,60.9969518892751,41.8967426515585,42.0350762327827,44,90.4139356041075,89.0973527394049,124.086927034364,92.793485303117,98.2806787813549,95.1811386522038,92.3800177215271,125.778093412468,98.9302438387901,106.775290269075,"single","single",0
"sub-1036","Younger",33.0452978452779,41.1166819271121,62.383246250395,32.237113172257,32.5190306961499,45,72.6759615442143,86.5190781399385,126.859515756604,73.474226344514,79.2485877080894,77.5105831598668,89.8466888337648,128.57315499056,79.7008763035952,87.8780363309218,"double","double",0
"sub-1037","Younger",46.6653933460593,46.6853569002716,59.6106575281552,42.2874338259464,50.1464973224571,43,99.9161525457771,97.6564280862575,121.314338312124,93.5748676518929,114.503520960704,104.614387039199,100.89311403193,122.982515172004,99.6196681146671,122.860195339076,"decay","decay",0
"sub-1038","Younger",24.2719503569366,36.6986446908986,62.383246250395,24.2719503569366,27.4045797579075,45,55.1292665675317,77.6830036675115,126.859515756604,57.5439007138731,69.0196858316045,59.9638881831842,81.0106143613378,128.57315499056,63.7705506729544,77.649134454437,"double","double",0
"sub-1039","Younger",27.3486709003434,27.5278822193662,59.6106575281552,27.3486709003428,30.5770515679166,43,61.2827076543453,59.3414787244467,121.314338312124,63.6973418006856,75.3646294516226,65.9809421477675,62.5781646701195,122.982515172004,69.7421422634599,83.7213038299945,"single","single",0
"sub-2001","Older",41.6052480037358,44.9799675830195,58.2243631670353,39.5760329627486,45.5056498815326,42,89.7958618611301,94.2456494517533,118.541749589885,88.1520659254972,105.221826078855,94.4235048623217,97.4352744026057,120.186395952354,94.1027443986306,113.437317472765,"decay","decay",0
"sub-2002","Older",61.8410150845631,61.9660382530559,62.383246250395,61.2483474529173,62.0976048513852,45,130.267396022785,128.217790791826,126.859515756604,131.496694905835,138.40573601856,135.102017638437,131.545401485652,128.57315499056,137.723344864916,147.035184641392,"baseline","baseline",0
"sub-2003","Older",53.4079889203519,57.5213929991384,58.2243631670353,53.4079889203508,54.2287212113176,42,113.401343694362,119.328500283991,118.541749589885,115.815977840702,122.667968738425,118.028986695554,122.518125234844,120.186395952354,121.766656313835,130.883460132335,"double","double",0
"sub-2004","Older",32.9662076238505,35.077750879308,62.383246250395,31.37963567797,39.3673452864004,45,72.5177811013595,74.4412160443303,126.859515756604,71.7592713559401,92.9452168885902,77.352402717012,77.7688267381566,128.57315499056,77.9859213150214,101.574665511423,"decay","double",1
"sub-2005","Older",59.3219983442167,59.3364489913585,59.6106575281552,59.3219983442257,59.4949628766714,43,125.229362542092,122.958612268431,121.314338312124,127.643996688451,133.200452069132,129.927597035514,126.195298214104,122.982515172004,133.688797151226,141.557126447504,"baseline","baseline",0
"sub-2006","Older",60.7824581174685,60.9969518892751,60.9969518892751,60.7824648768588,59.4217430031681,44,128.150282088596,126.279618064264,124.086927034364,130.564929753718,133.054012322126,132.917485136692,129.562283046387,125.778093412468,136.701688289391,141.548623809846,"baseline","baseline",0
"sub-2007","Older",51.5665094251957,51.6447949595402,58.2243631670353,51.5665094251957,48.7128333683055,42,109.71838470405,107.575304204795,118.541749589885,112.133018850391,111.6361930524,114.346027705241,110.764929155647,120.186395952354,118.083697323525,119.851684446311,"single","single",0
"sub-2009","Older",61.4241649035515,62.383246250395,62.383246250395,61.3628918446226,60.4941195631976,45,129.433695660762,129.052206786504,126.859515756604,131.725783689245,135.198765442185,134.268317276414,132.379817480331,128.57315499056,137.952433648326,143.828214065017,"baseline","baseline",0
"sub-2010","Older",59.5568952451673,59.600656961418,59.6106575281552,59.4573644236644,59.4647129200271,43,125.699156343993,123.48702820855,121.314338312124,127.914728847329,133.139952155844,130.397390837415,126.723714154223,122.982515172004,133.959529310103,141.496626534216,"baseline","baseline",0
"sub-2011","Older",50.8696021495263,51.2622678789658,60.9969518892751,49.7825370392119,50.3347558291349,44,108.324570152711,106.810250043646,124.086927034364,108.565074078424,114.880037974059,113.091773200807,110.092915025768,125.778093412468,114.701832614097,123.374649461779,"single","single",0
"sub-2012","Older",47.2612243151405,62.383246250395,62.383246250395,47.2612243151405,47.248475041234,45,101.10781448394,129.052206786504,126.859515756604,103.522448630281,108.707476398257,105.942436099592,132.379817480331,128.57315499056,109.749098589362,117.33692502109,"double","double",0
"sub-2013","Older",46.1554788464595,47.030085439995,60.9969518892751,46.1297033456615,49.3269592640367,44,98.8963235465775,98.3458851657043,124.086927034364,101.259406691323,112.864444843863,103.663526594674,101.628550147827,125.778093412468,107.396165226996,121.359056331583,"single","single",0
"sub-2018","Older",42.1605187081076,42.3044358614887,60.9969518892751,41.4473348828856,47.0582289710472,44,90.9064032698737,88.8945860086917,124.086927034364,91.8946697657711,108.326984257884,95.67360631797,92.1772509908139,125.778093412468,98.0314283014442,116.821595745604,"single","single",0
"sub-2019","Older",51.2651370415516,53.3087453472883,59.6106575281552,44.5214406630283,48.3921530107117,43,109.115639936762,110.903204980291,121.314338312124,98.0428813260566,110.994832337213,113.813874430184,114.139890925964,122.982515172004,104.087681788831,119.351506715585,"decay","decay",0
"sub-2020","Older",28.3214651515096,36.8368688296861,60.9969518892751,28.3214651515096,31.8259125530977,44,63.2282961566777,77.9594519450865,124.086927034364,65.6429303030192,77.8623514219849,67.995499204774,81.2421169272087,125.778093412468,71.7796888386923,86.356962909705,"double","double",0
"sub-2021","Older",54.3646226569845,54.4933318119756,60.9969518892751,54.3646226569845,52.7430892409055,44,115.314611167628,113.272377909665,124.086927034364,117.729245313969,119.6967047976,120.081814215724,116.555042891788,125.778093412468,123.866003849642,128.191316285321,"single","single",0
"sub-2022","Older",60.9094320872658,60.9969518892751,60.9969518892751,60.7172002864057,60.6696823566176,44,128.40423002819,126.279618064264,124.086927034364,130.434400572811,135.549891029025,133.171433076286,129.562283046387,125.778093412468,136.571159108484,144.044502516745,"baseline","baseline",0
"sub-2023","Older",31.6101718062174,34.8135971899166,60.9969518892751,31.5998816099608,32.0329643249226,44,69.8057094660933,73.9129086655475,124.086927034364,72.1997632199216,78.2764549656347,74.5729125141896,77.1955736476697,125.778093412468,78.3365217555947,86.7710664533548,"double","double",0
"sub-2024","Older",39.5766049623082,43.0608799829056,59.6106575281552,39.2471657177816,43.4529077262487,43,85.7385757782749,90.4074742515255,121.314338312124,87.4943314355633,101.116341768287,90.4368102716971,93.6441601971983,122.982515172004,93.5391318983375,109.473016146659,"double","double",0
"sub-2025","Older",48.2603423202804,50.7300653577486,60.9969518892751,47.8492837364685,50.2911031148336,44,103.106050494219,105.745845001211,124.086927034364,104.698567472937,114.792732545457,107.873253542316,109.028509983334,125.778093412468,110.83532600861,123.287344033177,"double","double",0
"sub-2026","Older",35.1357680724095,59.3558234269313,62.383246250395,35.1357680724095,27.6013915198897,45,76.8569019984775,122.997361139577,126.859515756604,79.271536144819,69.4133093555689,81.6915236141299,126.324971833403,128.57315499056,85.4981861039003,78.0427579784014,"prior","prior",0
"sub-2027","Older",47.8697819653994,47.8775894539757,62.383246250395,47.8697819653993,50.3440721263672,45,102.324929784457,100.040893193666,126.859515756604,104.739563930799,114.898670568524,107.15955140011,103.368503887492,128.57315499056,110.96621388988,123.528119191356,"single","single",0
"sub-2030","Older",58.0775218117587,58.2243631670353,58.2243631670353,58.0775218117587,58.2243631680747,42,122.740409477176,120.734440619785,118.541749589885,125.155043623517,130.659252651939,127.368052478368,123.924065570637,120.186395952354,131.105722096651,138.87474404585,"baseline","baseline",0
"sub-2031","Older",60.4307555878367,60.9969518892751,60.9969518892751,60.4307555878367,59.7092661321246,44,127.446877029332,126.279618064264,124.086927034364,129.861511175673,133.629058580039,132.214080077428,129.562283046387,125.778093412468,135.998269711346,142.123670067759,"baseline","baseline",0
"sub-2033","Older",60.7679736218354,60.9725247946315,60.9969518892751,59.9505926391048,60.8536075768215,44,128.121313097329,126.230763874977,124.086927034364,128.90118527821,135.917741469433,132.888516145426,129.5134288571,125.778093412468,135.037943813883,144.412352957153,"baseline","baseline",0
"sub-2034","Older",23.5670041390381,53.1631146824358,62.383246250395,23.5670041390381,16.62423973297,45,53.7193741317347,110.611943650586,126.859515756604,56.1340082780763,47.4590057817294,58.5539957473872,113.939554344412,128.57315499056,62.3606582371576,56.0884544045618,"prior","prior",0
"sub-2036","Older",61.1068873810274,62.383246250395,62.383246250395,61.1068873810275,60.8205019643602,45,128.799140615713,129.052206786504,126.859515756604,131.213774762055,135.85153024451,133.633762231366,132.379817480331,128.57315499056,137.440424721136,144.480978867342,"baseline","baseline",0
"sub-2037","Older",48.7270432497279,50.237647087184,58.2243631670353,46.2094162887408,48.7324443574942,42,104.039452353114,104.761008460082,118.541749589885,101.418832577482,111.675415030778,108.667095354306,107.950633410935,120.186395952354,107.369511050615,119.890906424689,"decay","decay",0
"sub-2038","Older",62.0790747306117,62.3181817363464,62.383246250395,61.2704775634777,61.8649552771928,45,130.743515314882,128.922077758407,126.859515756604,131.540955126955,137.940436870175,135.578136930534,132.249688452233,128.57315499056,137.767605086037,146.569885493008,"baseline","baseline",0
"sub-2039","Older",30.2313955481292,34.59272230378,59.6106575281552,29.246660606087,33.213269537734,43,67.0481569499169,73.4711588932743,121.314338312124,67.493321212174,80.6370653912574,71.7463914433391,76.7078448389471,122.982515172004,73.5381216749482,88.9937397696293,"double","double",0
